,position,height,weight,hall_fame,games_played,Goal,assist,points,points_per_game,bmi,range_points
966,L,71,175,N,14,0,3,3,0.21428571428571427,24.404879984130133,range_e
967,L,73,195,N,185,21,48,69,0.372972972972973,25.724338525051607,range_e
968,C,72,190,N,580,153,219,372,0.6413793103448275,25.76581790123457,range_d
969,C,70,180,N,841,114,191,305,0.3626634958382878,25.82448979591837,range_e
970,R,72,190,N,79,13,15,28,0.35443037974683544,25.76581790123457,range_e
971,C,73,194,N,20,1,3,4,0.2,25.592418840307747,range_e
972,D,71,180,N,52,2,8,10,0.19230769230769232,25.102162269390995,range_e
973,L,71,176,N,11,1,1,2,0.18181818181818182,24.544336441182306,range_e
974,D,74,180,N,382,24,106,130,0.3403141361256545,23.10810810810811,range_e
975,D,70,169,N,3,0,0,0,0.0,24.246326530612244,range_e
976,L,71,185,N,328,140,166,306,0.9329268292682927,25.799444554651853,range_c
977,D,71,180,N,1,0,0,0,0.0,25.102162269390995,range_e
978,C,70,180,N,267,68,89,157,0.5880149812734082,25.82448979591837,range_d
979,D,74,200,N,1,0,0,0,0.0,25.675675675675674,range_e
980,C,70,185,N,20,2,8,10,0.5,26.541836734693877,range_d
981,D,72,190,N,33,1,1,2,0.06060606060606061,25.76581790123457,range_e
982,D,77,215,N,25,0,2,2,0.08,25.492494518468543,range_e
983,R,75,220,N,15,0,0,0,0.0,27.49511111111111,range_e
984,D,73,200,N,642,24,142,166,0.2585669781931464,26.383936948770877,range_e
985,D,71,195,N,915,62,306,368,0.4021857923497268,27.19400912517358,range_d
986,L,73,185,N,1,0,1,1,1.0,24.405141677613063,range_c
987,R,72,185,N,3,0,0,0,0.0,25.087770061728396,range_e
988,R,70,185,N,446,74,77,151,0.33856502242152464,26.541836734693877,range_e
989,L,71,190,N,4,0,0,0,0.0,26.496726839912714,range_e
990,D,71,190,N,2,0,1,1,0.5,26.496726839912714,range_d
991,D,70,185,N,20,0,3,3,0.15,26.541836734693877,range_e
992,D,69,170,N,76,4,15,19,0.25,25.101869355177485,range_e
993,R,70,170,N,302,57,111,168,0.5562913907284768,24.389795918367348,range_d
994,L,72,185,N,180,50,73,123,0.6833333333333333,25.087770061728396,range_d
995,D,68,173,N,25,2,3,5,0.2,26.30168685121107,range_e
996,R,71,200,N,1,0,0,0,0.0,27.891291410434434,range_e
997,C,72,180,N,47,2,6,8,0.1702127659574468,24.409722222222225,range_e
998,D,69,205,N,477,36,171,207,0.4339622641509434,30.26990128124344,range_d
999,L,70,160,N,112,22,43,65,0.5803571428571429,22.955102040816328,range_d
