,position,height,weight,hall_fame,games_played,Goal,assist,points,points_per_game,bmi,range_points
892,L,71,190,N,7,0,0,0,0.0,26.496726839912714,range_e
893,R,72,190,N,303,58,53,111,0.36633663366336633,25.76581790123457,range_e
894,C,70,180,N,49,6,9,15,0.30612244897959184,25.82448979591837,range_e
895,R,72,195,N,697,145,159,304,0.43615494978479197,26.44386574074074,range_d
896,L,72,200,N,45,4,6,10,0.2222222222222222,27.12191358024691,range_e
897,L,74,195,N,96,17,20,37,0.3854166666666667,25.033783783783786,range_e
898,L,71,175,N,7,0,1,1,0.14285714285714285,24.404879984130133,range_e
899,L,70,175,N,25,4,4,8,0.32,25.107142857142854,range_e
900,R,72,180,N,533,119,137,256,0.4803001876172608,24.409722222222225,range_d
901,C,71,176,N,677,209,384,593,0.8759231905465288,24.544336441182306,range_c
902,C,74,185,N,25,1,0,1,0.04,23.75,range_e
903,L,72,174,N,184,16,26,42,0.22826086956521738,23.596064814814817,range_e
904,R,71,190,N,772,219,270,489,0.633419689119171,26.496726839912714,range_d
905,L,73,190,N,103,11,17,28,0.27184466019417475,25.064740101332333,range_e
906,R,70,180,N,773,248,244,492,0.6364812419146184,25.82448979591837,range_d
907,L,70,188,N,562,197,210,407,0.7241992882562278,26.972244897959186,range_d
908,C,69,170,N,34,5,6,11,0.3235294117647059,25.101869355177485,range_e
909,C,72,185,N,7,1,0,1,0.14285714285714285,25.087770061728396,range_e
910,R,71,165,N,44,8,8,16,0.36363636363636365,23.01031541360841,range_e
911,D,74,200,N,607,39,128,167,0.2751235584843493,25.675675675675674,range_e
912,L,72,205,N,1152,329,287,616,0.5347222222222222,27.79996141975309,range_d
913,R,71,175,N,556,118,163,281,0.5053956834532374,24.404879984130133,range_d
914,L,70,175,N,35,5,4,9,0.2571428571428571,25.107142857142854,range_e
915,C,72,190,N,1,0,0,0,0.0,25.76581790123457,range_e
916,D,72,195,N,228,7,29,36,0.15789473684210525,26.44386574074074,range_e
917,D,71,184,N,12,0,2,2,0.16666666666666666,25.659988097599683,range_e
918,D,71,200,N,4,0,0,0,0.0,27.891291410434434,range_e
919,C,69,175,N,312,78,98,176,0.5641025641025641,25.84015963032976,range_d
920,R,71,190,N,125,13,27,40,0.32,26.496726839912714,range_e
921,L,77,239,N,729,17,22,39,0.053497942386831275,28.33816832518131,range_e
922,D,74,198,N,34,0,0,0,0.0,25.41891891891892,range_e
923,L,73,230,N,57,3,6,9,0.15789473684210525,30.34152749108651,range_e
924,C,73,185,N,1,0,0,0,0.0,24.405141677613063,range_e
925,D,76,215,N,474,41,152,193,0.40717299578059074,26.167763157894736,range_d
926,D,75,220,N,845,43,220,263,0.31124260355029587,27.49511111111111,range_e
927,D,70,200,N,133,6,53,59,0.44360902255639095,28.693877551020407,range_d
928,L,74,220,N,9,0,1,1,0.1111111111111111,28.243243243243246,range_e
929,D,74,205,N,981,179,431,610,0.6218144750254841,26.31756756756757,range_d
930,C,71,170,N,10,1,1,2,0.2,23.70759769886927,range_e
931,C,69,175,N,6,0,1,1,0.16666666666666666,25.84015963032976,range_e
932,D,74,200,N,571,84,223,307,0.5376532399299475,25.675675675675674,range_d
933,L,72,190,N,629,195,359,554,0.8807631160572337,25.76581790123457,range_c
934,L,71,185,N,20,3,3,6,0.3,25.799444554651853,range_e
935,L,73,188,N,2,0,0,0,0.0,24.800900731844624,range_e
936,R,71,185,N,117,11,23,34,0.2905982905982906,25.799444554651853,range_e
937,D,75,195,N,185,8,26,34,0.1837837837837838,24.370666666666665,range_e
938,D,75,202,N,156,5,20,25,0.16025641025641027,25.24551111111111,range_e
939,R,73,185,N,60,6,11,17,0.2833333333333333,24.405141677613063,range_e
940,C,70,175,N,102,20,39,59,0.5784313725490197,25.107142857142854,range_d
941,C,72,185,N,345,72,91,163,0.47246376811594204,25.087770061728396,range_d
942,C,73,184,N,237,56,89,145,0.6118143459915611,24.273221992869207,range_d
943,D,73,175,N,3,0,0,0,0.0,23.08594483017452,range_e
944,D,75,215,N,854,42,202,244,0.2857142857142857,26.87022222222222,range_e
945,L,73,185,N,5,0,0,0,0.0,24.405141677613063,range_e
946,L,74,196,N,7,2,1,3,0.42857142857142855,25.16216216216216,range_d
947,D,73,180,N,204,23,63,86,0.4215686274509804,23.74554325389379,range_d
948,L,71,180,N,234,22,42,64,0.27350427350427353,25.102162269390995,range_e
949,D,71,200,N,256,8,32,40,0.15625,27.891291410434434,range_e
950,R,71,180,N,41,7,9,16,0.3902439024390244,25.102162269390995,range_e
951,C,68,155,N,274,39,82,121,0.4416058394160584,23.565095155709344,range_d
952,D,74,200,N,642,41,97,138,0.21495327102803738,25.675675675675674,range_e
953,C,74,200,N,152,17,14,31,0.20394736842105263,25.675675675675674,range_e
954,D,73,200,N,653,69,224,293,0.44869831546707506,26.383936948770877,range_d
955,D,71,195,N,699,26,95,121,0.17310443490701002,27.19400912517358,range_e
956,L,75,183,N,519,127,147,274,0.5279383429672447,22.87093333333333,range_d
957,L,72,175,N,11,0,1,1,0.09090909090909091,23.731674382716047,range_e
958,D,73,195,N,176,10,73,83,0.4715909090909091,25.724338525051607,range_d
959,D,73,190,N,193,18,29,47,0.24352331606217617,25.064740101332333,range_e
960,R,72,180,N,95,14,18,32,0.3368421052631579,24.409722222222225,range_e
961,L,72,180,N,427,116,123,239,0.5597189695550351,24.409722222222225,range_d
962,C,68,173,N,156,19,40,59,0.3782051282051282,26.30168685121107,range_e
963,D,72,190,N,337,59,113,172,0.5103857566765578,25.76581790123457,range_d
964,L,75,210,N,4,0,0,0,0.0,26.245333333333335,range_e
965,R,72,190,N,53,5,13,18,0.33962264150943394,25.76581790123457,range_e
